,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
207,Asterix e o segredo da poção mágica,Astérix - Le secret de la potion magique,Bonfilm,9/19/2019,França,Animação,Livre,38,"209.704,11",12.914
208,Colette,Colette,Diamond Films,12/13/2018,EUA/ Reino Unido,Drama,14,54,"201.514,82",12.658
209,Amanda,Amanda,Imovision,5/2/2019,França,Drama,14,7,"197.150,28",11.496
210,Adeus à noite,L'adieu à la nuit,Pandora,9/12/2019,França,Drama,12,51,"194.183,90",11.991
211,O juízo,O juízo,DTF/Paris,12/5/2019,Brasil,Terror,14,104,"192.181,06",11.575
212,O Caravaggio roubado,Una storia senza nome,Pagu Pictures,5/23/2019,Itália,Thriller,14,21,"191.872,62",11.975
213,Lizzie,Lizzie,Diamond Films,1/3/2019,EUA,Suspense,12,26,"189.853,62",10.379
214,Voando alto,Manou the Swift,Paris,8/8/2019,Alemanha,Animação,Livre,116,"188.330,19",13.289
215,Não mexa com ela,Isha Ovedet,Pagu Pictures,8/8/2019,Israel,Drama,16,25,"187.269,45",10.785
216,Uma mulher alta,Dylda,Supo Mungam Films,12/12/2019,Russia,Drama,16,21,"186.569,59",10.571
217,O maior presente,El mayor regalo,Coragem Distribuidora,9/19/2019,Espanha,Drama,12,45,"181.161,75",11.209
218,Tito e os pássaros,Tito e os pássaros,Elo Company/Europa,2/14/2019,Brasil,Animação,Livre,38,"169.251,10",17.683
219,O rei de Roma,Io sono tempesta,Pagu Pictures,3/7/2019,Itália,Comédia,14,26,"159.564,55",9.519
220,UMA - Luz dos Himalaias,UMA - Luz dos Himalaias,Espaço Filmes,11/21/2019,Brasil,Documentário,Livre,19,"159.112,21",8.278
221,Duas coroas,Dwie korony,A2 Filmes,11/28/2019,Polônia,Biografia,12,68,"155.974,21",11.140
222,Tolkien,Tolkien,Fox,5/23/2019,EUA,Biografia,14,18,"155.741,21",6.714
223,Boas intenções,Les bonnes intentions,Pandora,7/4/2019,França,Comédia - Dramática,14,15,"154.041,74",10.128
224,Poderia me perdoar?,Can you ever forgive me?,Fox,2/14/2019,EUA,Comédia - Dramática,16,7,"153.740,85",9.480
225,A luz no fim do mundo,Light of my life,Imagem,10/17/2019,EUA,Drama,14,21,"153.397,23",7.266
