,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2017 (R$), Público 2017,Salas Abertura,Estreia, renda (R$),público
O espaço entre nós,The space between us,Diamond Films,  586.076 ,  41.874 ,119,30/3/17,586.076,41.874
Uma razão para viver,Breathe,Diamond Films,  581.396 ,  32.538 ,86,16/11/17,581.396,32.538
O apartamento,Forushande,Pandora,  572.240 ,  40.795 ,22,5/1/17,572.240,40.795
Ao cair da noite,It Comes at Night,Diamond Films,  572.233 ,  38.274 ,80,22/6/17,572.233,38.274
Na mira do atirador,The wall,H2O Films,  561.592 ,  33.306 ,104,24/8/17,561.592,33.306
Perfeita é a mãe 2,Bad mom's christmas,Diamond Films,  528.622 ,  39.548 ,175,7/12/17,528.622,39.548
"A criada, A",The Handmaiden,Mares Filmes,  513.256 ,  36.102 ,22,12/1/17,513.256,36.102
O castelo de vidro,The glass castle,Paris,  495.950 ,  25.915 ,68,24/8/17,495.950,25.915
2:22 - Encontro marcado,2:22,Playarte,  490.791 ,  30.943 ,85,7/9/17,490.791,30.943
Historietas assombradas - O filme,Historietas assombradas - O filme,Vitrine,  474.299 ,  34.103 ,212,2/11/17,474.299,34.103
Lady Macbeth,Lady Macbeth,California,  469.172 ,  29.243 ,17,17/8/17,469.172,29.243
Axé: canto do povo de algum lugar,Axé: canto do povo de algum lugar,Zahir Company,  458.913 ,  33.200 ,22,19/1/17,458.913,33.200
Um instante de amor,Mal de pierres,Mares Filmes,  456.830 ,  32.372 ,36,29/6/17,456.830,32.372
A promessa,The promise,Diamond Films,  451.363 ,  25.554 ,68,11/5/17,451.363,25.554
Elis,Elis,DTF/Paris,  450.285 ,  30.353 ,256,24/11/16,8.502.649,568.665
A origem do dragão,Birth of the dragon,Imagem,  422.824 ,  31.463 ,119,28/12/17,422.824,31.463
Doidas e santas,Doidas e santas,Imagem,  422.034 ,  30.852 ,92,24/8/17,422.034,30.852
Um perfil para dois,Un profil pour deux,Paris,  417.046 ,  25.088 ,31,9/11/17,417.046,25.088
Suburbicon - Bem-vindos ao paraíso,Suburbicon,Diamond Films,  406.481 ,  23.006 ,77,21/12/17,406.481,23.006
Um homem de família,A Family Man,California,  403.452 ,  20.031 ,60,18/5/17,403.452,20.031
Como se tornar um conquistador,How to Be a Latin Lover,Paris,  381.953 ,  24.545 ,154,27/7/17,381.953,24.545
Uma mulher fantástica,Una mujer fantástica,Imovision,  377.564 ,  25.754 ,16,7/9/17,377.564,25.754
Frantz,Frantz,California,  366.901 ,  26.966 ,19,22/6/17,366.901,26.966
Eu não sou seu negro,I Am Not Your Negro,Imovision,  365.233 ,  25.503 ,20,16/2/17,365.233,25.503
O jantar,The dinner,California,  357.582 ,  20.265 ,24,7/9/17,357.582,20.265
Logan Lucky - Roubo em Família,Logan Lucky,Diamond Films,  356.062 ,  16.914 ,62,12/10/17,356.062,16.914
A guerra dos sexos,Battle of the sexes,Fox,  355.655 ,  18.072 ,27,19/10/17,355.655,18.072
Insubstituível,Médecin de campagne,Cineart Filmes,  348.417 ,  25.170 ,32,9/3/17,348.417,25.170
Alem das palavras,,Cineart Filmes,  347.383 ,  22.882 ,32,27/4/17,347.383,22.882
Rodin ,Rodin,Mares Filmes,  336.879 ,  23.356 ,28,21/9/17,336.879,23.356
Toni Erdmann,Toni Erdmann,Sony,  327.046 ,  21.388 ,16,9/2/17,327.046,21.388
De canção em canção,Song to song,Supo Mungam Films,  318.095 ,  18.871 ,30,20/7/17,318.095,18.871
The Beatles: Eight Days a Week - The Touring Years,The Beatles: Eight Days a Week - The Touring Years,Flix Media,  318.058 ,  13.746 ,42,2/2/17,318.058,13.746
"Tal mãe, tal filha","Telle mére, telle fille",California,  317.822 ,  22.383 ,22,20/7/17,317.822,22.383
Sete minutos depois da meia-noite,A monster calls,Diamond Films,  310.385 ,  18.761 ,45,5/1/17,310.385,18.761
Era o Hotel Cambridge,Era o Hotel Cambridge,Vitrine,  307.758 ,  29.461 ,12,16/3/17,307.758,29.461
Negação,Denial,Sony,  296.883 ,  17.678 ,27,9/3/17,296.883,17.678
O melhor professor da minha vida,Les grands esprits,Imovision,  294.852 ,  19.701 ,10,5/10/17,294.852,19.701
Kiki - Os segredos do desejo,Kiki - El Amor se Hace,Imovision,  289.741 ,  17.700 ,21,15/6/17,289.741,17.700
Gatos,Kedi,Espaço Filmes,  287.738 ,  17.857 ,12,13/7/17,287.738,17.857
O formidável,Le redoubtable,Imovision,  283.628 ,  18.536 ,29,26/10/17,283.628,18.536
O poder e o impossível,6 below - Miracle on the mountain,Imagem,  274.434 ,  17.376 ,77,14/12/17,274.434,17.376
Os belos dias de Aranjuez,Les Beaux Jours d'Aranjuez,Imovision,  270.866 ,  16.515 ,22,30/3/17,270.866,16.515
O jardim das aflições,"Jardim das aflições, O",Distribuição Própria,  269.922 ,  14.381 ,6,1/6/17,269.922,14.381
O reencontro,Sage-Femme,Mares Filmes,  264.256 ,  19.492 ,28,27/7/17,264.256,19.492
Joaquim,Joaquim,Imovision,  250.972 ,  17.160 ,37,20/4/17,250.972,17.160
Anjos da noite - Guerras de sangue,Underworld - Blood wars,Sony,  249.723 ,  19.380 ,675,1/12/16,16.327.004,1.139.737
Central - O filme,Central - O filme,Panda Filmes,  248.031 ,  16.536 ,7,30/3/17,248.031,16.536
O outro lado da esperança,Toivon tuolla puolen,Imovision,  234.424 ,  14.353 ,17,9/11/17,234.424,14.353
A garota ocidental - entre o coração e a tradição,Noces,Cineart Filmes,  233.101 ,  16.578 ,15,22/6/17,233.101,16.578
As falsas confidências,Les fausses confidences,Supo Mungam Films,  231.482 ,  13.371 ,17,13/4/17,231.482,13.371
Últimos dias em Havana,Últimos días en la Havana,Esfera,  230.019 ,  16.197 ,12,24/8/17,230.019,16.197
On yoga - Arquitetura da paz,On yoga: The architecture of peace,Pagu Pictures / Bretz Filmes,  227.112 ,  12.845 ,13,16/11/17,227.112,12.845
Elle,Elle,Sony,  225.352 ,  15.239 ,32,17/11/16,788.381,53.277
Bom comportamento,Good time,Paris,  225.257 ,  13.672 ,30,19/10/17,225.257,13.672
Manifesto,Manifesto,Mares Filmes,  225.176 ,  14.464 ,26,26/10/17,225.176,14.464
Soundtrack,Soundtrack,Imagem,  223.874 ,  13.350 ,61,6/7/17,223.874,13.350
Neruda,Neruda,Imovision,  221.556 ,  15.456 ,34,15/12/16,646.097,43.458
